Indique si durante la semana pasada, es decir, entre lunes y domingo, trabajó remuneradamente al menos una hora en alguna de las siguientes actividades:;Si trabajó durante la semana pasada, ¿cuántas horas trabajó en total?;Si está trabajando ¿qué tipo de contrato posees en la actualidad?;Other;Al momento de recibir su mayor ingreso, usted:;¿A qué se dedica principalmente la empresa o institución que le genera su mayor fuente de ingresos?;Other;Durante la semana pasada ¿dónde realizó principalmente sus actividades?;Other;Desde el 18 de octubre 2019, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del estallido social?;Desde que comenzo la pandemia Covid-19 en marzo de 2020, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del Covid-19?;¿Cuál es tu nivel de satisfacción con tu actual situacion laboral?;¿Cuál es tu nivel de satisfacción con tu actual estado de salud?;¿Cuál es tu nivel de satisfacción con su bienestar general?;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;Other;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;Other;Qué tipo de proyecciones laborales tienes a partir de tu experiencia y en el área de la sociología? (Señalar hasta tres conceptos):;Metodologías cualitativas;Metodologías cuantitativas.;Gestión Pública;Metodología de Intervención;Diseño y evaluación de proyectos;Teoría sociológica;Sociologías en general;Utilización de softwares de análisis;Investigación de mercado;Otros intereses;Usted curso boletas de honorarios durante los años 2018, 2019 y 2020.;Cuántas boletas emitió durante el año 2018;Cuántas boletas emitió durante el año 2019;Cuántas boletas emitió durante el año 2020 (antes del 1 de abril);¿Su única fuente de ingresos durante el año 2018 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2019 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2020 ( antes del 1 de abril) fueron las boletas de honorarios?;"De aprobarse una ley que se tramita en el congreso que establece beneficios para los trabajadores a honorarios, que requiere cumplir los siguientes requisitos:  

“Haber emitido boletas de honorarios en a lo menos cuatro meses continuos o discontinuos, de los 12 meses anteriores al 1º de abril de 2020, o haber emitido boletas de honorarios en a los menos 8 meses, continuos o discontinuos, en los 24 meses anteriores a la referida fecha”. 

¿Usted estaría afecto al beneficio?";¿Qué grado académico posee?;Usted obtuvo el título profesional de sociólogo.;¿De qué universidad egresaste?;Comuna de residencia;Comuna donde trabaja;Edad;Género;¿Estás asociado/a al Colegio de Sociólogas y Sociólogos de Chile A.G?;¿Es de su interés asociarse al Colegio de Sociólogas y Sociólogos de Chile A.G?
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron levemente;0;Satisfecho;Muy Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;"Diplomado; Magíster; Emprendimiento";Interesado;Indiferente;Interesado;Poco interés;Interesado;Interesado;Muy interesado;Interesado;Muy interesado;Sociología política, sociología del deporte, Marketing;1;6;4;0;0;0;0;1;Licenciado;1;Universidad Central;Ñuñoa;Providencia;30;Masculino;1;
Desempleado;;;;;;;;;Se mantuvieron igual;0;Disminuyeron levemente;0;Satisfecho;Muy Satisfecho;Muy Satisfecho;;;Encontré trabajo;;;Afectó mi salud corporal y/o mental;;;Perdí mi trabajo;Encontré trabajo;;Tuvo consecuencias emocionales;;;Muy buenas;Interesado;Interesado;Interesado;Indiferente;Interesado;Indiferente;Interesado;Indiferente;Poco interés;Investigación;1;5;9;1;1;1;1;1;Licenciado;1;Universidad Diego portales;Buin;Santiago;25;Femenino;1;
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Aumentaron levemente;0;Insatisfecho;Satisfecho;Satisfecho;;;;;;;tuve + trabajo al inicio, varios cursos, luego 0;;;;;Tuvo consecuencias emocionales;;;difícil incierto vulnerable;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;"Avanzar con Nuestra Fundación POSITIVA; Incidencia Ciudadana en Políticas Públicas y Trabajar en Formación Ciudadana Político-Legislativa marcado x Enfoque de Derechos Humanos, Memoria y Reparación";1;3;8;1;1;1;1;0;Magíster;1;Arcis;peñalolen;peñalolen;55;Masculino;1;
Desempleado;;;;;;;;;Se mantuvieron igual;1;Se mantuvieron igual;0;Muy insatisfecho;Muy Satisfecho;Insatisfecho;Todo siguió igual;;;Provocó un bajón anímico;;;;Todo siguió igual;;;Provocó un bajón anímico;;;;No tengo experiencia laboral por tanto encontrar trabajo;Muy interesado;Indiferente;Interesado;Interesado;Interesado;Indiferente;Interesado;Interesado;Indiferente;;0;;;;;;;;Magíster;1;Universidad Diego Portales;Santiago centro;No trabajo;27;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Muy insatisfecho;Satisfecho;Muy insatisfecho;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;;;;"Procesos de seleccion más profesionales y transparentes; espero encontrar trabajo si la dimensión sociopolítica se asume en serio.";Interesado;Interesado;Muy interesado;Poco interés;Muy interesado;Interesado;Muy interesado;Indiferente;Indiferente;Evaluación de Impacto Ambiental...Trabajo con comunidades;0;;;;;;;;Magíster;1;U. De Chile;Puerto Varas;Puerto Varas;57;Masculino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Disminuyeron totalmente;1;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;Afectó mi salud corporal y/o mental;;;Perdí mi trabajo;;Provocó un bajón anímico;;;;Educación, políticas públicas y sociología del género;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Indiferente;Género;1;5;10;2;0;0;1;0;Magíster;1;Universidad Arturo Prat;Iquique;Iquique;43;Femenino;1;
Trabajo dependiente remunerado;45;Contrata renovable;;Recibe una liquidación de sueldo;Políticas públicas;;En instalaciones regulares del empleador;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Insatisfecho;Satisfecho;;;;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Espero que se mantenga mi empleo.;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Poco interés;Interesado;Muy interesado;Nada de Interés.;Ninguno;1;4;3;0;0;0;0;0;Magíster;1;Universidad de Chile;Santiago;Santiago;36;Femenino;1;
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Se mantuvieron igual;1;Muy insatisfecho;Satisfecho;Insatisfecho;;Perdí mi trabajo;;Provocó un bajón anímico;Trajo conflictos familiares;;;;Perdí mi trabajo;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Buscando trabajo;Muy interesado;Poco interés;Muy interesado;Muy interesado;Muy interesado;Poco interés;Interesado;Nada de Interés.;Nada de Interés.;Coordinador de proyectos;1;5;6;3;1;1;1;1;Licenciado;1;Central;Puente alto;No trabajo;34;Femenino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Consultorias;Interesado;Interesado;Interesado;Interesado;Indiferente;Indiferente;Indiferente;Indiferente;Interesado;;0;;;;;;;;Licenciado;1;Central;Providencia;Santiago;34;Femenino;0;0
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Muy insatisfecho;Satisfecho;Insatisfecho;;;;;Trajo conflictos familiares;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Académica, investigación y proyectos.;Muy interesado;Poco interés;Indiferente;Interesado;Interesado;Poco interés;Interesado;Poco interés;Poco interés;Derechos humanos, educación, sociología de la memoria.;1;8;1;0;1;0;0;0;Magíster;1;Universidad de Concepción;Talca;Por el momento en ninguna;42;Femenino;0;1
Trabajo dependiente remunerado;55;Contrato indefinido;;Recibe una liquidación de sueldo;Gobierno;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;investigación;Interesado;Interesado;Muy interesado;Interesado;Interesado;Interesado;Interesado;Poco interés;Poco interés;ciudad y transformaciones culturales;1;1;0;0;0;0;0;0;Magíster;1;Universidad Arcis;Providencia;Providencia;39;Masculino;0;1
Trabajo dependiente remunerado;45;Contrata plazo fijo;;Recibe una liquidación de sueldo;Políticas públicas;;;;Se mantuvieron igual;0;;0;Muy Satisfecho;;;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;;;;Estudios, estadística, indicadores;;Muy interesado;Muy interesado;Nada de Interés.;Interesado;Nada de Interés.;Nada de Interés.;Muy interesado;Nada de Interés.;Ninguno;1;7;8;0;1;1;0;0;Licenciado;1;Universidad Academia Humanismo Cristiano;Estación Central;Providencia;29;Masculino;0;0
Trabajo dependiente remunerado;30;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Satisfecho;;;;;;;Unión entre pares;;;;;Tuvo consecuencias emocionales;;;investigación, elaboración de libro, comunicaciones;Interesado;Interesado;Indiferente;Poco interés;Poco interés;Interesado;Interesado;Muy interesado;Poco interés;Comunicaciones;0;;;;;;;;Magíster;1;Universidad de Concepción;Puente Alto;Independencia;29;Femenino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy insatisfecho;Satisfecho;Insatisfecho;;;;;;;Si bien estoy sin trabajo, en  mi provocó alegría por el despertar de la gente. Fue rememorar viejos tiempos en la lucha contra la dictadura y llenarse de optimismo en que habrá una transformación a nivel socioeconómico y principalmente en las personas.;Todo siguió igual;;;;;;;Trabajar en el ámbito de la educación en convivencia escolar, o hacer trabajo comunitario.;Interesado;Interesado;Interesado;Muy interesado;Poco interés;Interesado;Interesado;Poco interés;Poco interés;El trabajo con mujeres;0;;;;;;;;Licenciado;1;ARCIS;Peñaflor;Estoy cesante;55;Femenino;1;
Trabajo dependiente remunerado;60;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Satisfecho;Indiferente;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;investigación, docencia, proyectos;Interesado;Interesado;Poco interés;Indiferente;Interesado;Interesado;Muy interesado;Interesado;Nada de Interés.;sociología del trabajo, sociología de las migraciones;1;4;3;0;0;0;0;1;Doctorado;1;Universidad Catolica;iquique;iquique;53;Femenino;0;1
Trabajo dependiente remunerado;25;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;;;Afectó mi salud corporal y/o mental;;Participación en más proyectos;Interesado;Muy interesado;Indiferente;Indiferente;Interesado;Indiferente;Indiferente;Muy interesado;Muy interesado;X;0;;;;;;;;Magíster;0;U de Concepción;Chillán;Chillán;40;Masculino;1;
Trabajo dependiente remunerado;48;Contrata renovable;;Recibe una liquidación de sueldo;Políticas públicas;;;teletrabajo y oficina  según turno;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;;;;Mejoró mi perspectiva de futuro;;;;;Tuvo consecuencias emocionales;;;aplicar más investigación en mi área laboral;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;;1;3;3;1;0;0;0;0;Magíster;1;Arcis;Maipu;Santiago;48;Femenino;0;1
Trabajo dependiente remunerado;30;Contrato indefinido;;Entrega boleta de honorarios;Marketing o comunicación;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Se mantuvieron igual;1;Insatisfecho;Insatisfecho;Muy Satisfecho;;;;;;;;;;;;;Afectó mi salud corporal y/o mental;;Quiero acercarme a la Analítica de Datos;Poco interés;Muy interesado;Poco interés;Poco interés;Poco interés;Interesado;Interesado;Muy interesado;Interesado;Analítica de Datos;1;3;5;3;0;0;0;0;Magíster;1;Chile;Peñalolén;Iquique;47;Masculino;1;
Trabajo independiente remunerado;40;Contrato a honorarios;;Entrega boleta de honorarios;Organización Internacional;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;;;;impacto positivo siendo parte de la rearticulación de tejido social;;;;;Tuvo consecuencias emocionales;;;Continuar desde la consultoría en el corto plazo ya que continúa el proyecto en el que estoy involucrada;Muy interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Indiferente;Muy interesado;Poco interés;teorías y metodologías desde epistemologías del sur;1;20;15;5;1;1;1;1;Magíster;1;Universidad de Concepción;Calama;Iquique;36;Femenino;1;
Trabajo dependiente remunerado;50;Contrato a honorarios;;Entrega boleta de honorarios;Estudios de mercado;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Indiferente;Insatisfecho;Muy insatisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;"Emprendimiento
Proyectos 
Asociaticidad";Interesado;Muy interesado;Indiferente;Interesado;Interesado;Interesado;Interesado;Muy interesado;Muy interesado;Nada;1;12;12;3;1;1;1;1;Magíster;1;Universidad Arturo Prat;Iquique;Iquique;31;Masculino;0;0
Trabajo dependiente remunerado;46;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;1;Se mantuvieron igual;1;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;Clases internacionales, Grupos internacionales de investigación;Muy interesado;Muy interesado;Indiferente;Indiferente;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Academia;1;6;3;1;0;0;0;0;Magíster;1;Universidad de Concepción;San Pedro de la Paz;Concepción;41;Masculino;1;
Trabajo independiente remunerado;20;Independiente (dueño o socio de firma consultora);;Entrega boleta de honorarios;Gobierno;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron levemente;0;Insatisfecho;Insatisfecho;Insatisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;Interesado;Interesado;Poco interés;Indiferente;Poco interés;Indiferente;Indiferente;;Poco interés;;1;30;30;6;1;1;1;1;Magíster;0;De Chile;Santiago;Santiago;40;Masculino;1;
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;;Otro;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Indiferente;Insatisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;Preocupación por la justicia social y esperanza por cambios favorables para los más excluidos;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Validación profesional,  generación e redes publico privadas y expectativas de un nuevo empleo más vinculados a mis intereses académicos e investigativos;Interesado;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Indiferente;Sociologia urbana y geografía humana;1;7;0;0;0;0;0;0;Magíster;1;Arcis;Providencia;Providencia;36;Masculino;0;1
Trabajo dependiente remunerado;;Contrato a honorarios;;Entrega boleta de honorarios;Municipio;;En instalaciones regulares del empleador;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;;;;;Encontré trabajo;;;;;Me proyecto en el servicio público, asumiendo nuevos desafíos;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Poco interés;Interesado;Muy interesado;Indiferente;Docencia;1;12;12;3;0;0;1;1;Licenciado;1;Universidad de Concepción;Cauquenes;Municipalidad de Cauquenes;29;Femenino;1;
Desempleado;;;;;;;;;Se mantuvieron igual;0;Se mantuvieron igual;0;Indiferente;Satisfecho;Indiferente;;;;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Turismo, proyectos;Interesado;Indiferente;Interesado;Interesado;Interesado;Poco interés;Poco interés;Indiferente;Indiferente;;1;1;5;0;1;1;1;0;Licenciado;0;UNAB;San Felipe;;23;Femenino;0;1
Trabajo dependiente remunerado;44;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;Estabilidad, mejora, realización;Muy interesado;Muy interesado;Indiferente;Muy interesado;Interesado;Muy interesado;Muy interesado;Interesado;Indiferente;Sociología del derecho;1;0;;;1;1;1;1;Doctorado;1;Universidad de la Frontera;Santiago;Santiago;33;Masculino;1;
Empresa individual o familiar;30;Independiente (dueño o socio de firma consultora);;Entrega factura;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron totalmente;0;Insatisfecho;Satisfecho;Insatisfecho;Todo siguió igual;;;;;;;;;;;;;Baja expectativas laborales e ingresos;Mantener clientes;Interesado;Interesado;Interesado;Interesado;Interesado;Poco interés;Interesado;Poco interés;Poco interés;Cambios de paradigmas sociales;0;;;;;;;;Licenciado;0;Universidad Arcis;San Miguel;San Miguel;66;Masculino;0;0
Trabajo dependiente remunerado;50;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Insatisfecho;Insatisfecho;;;;;;;cambio en las metodologías de trabajo y demora en término de actividades académicas;;;;;;Afectó mi salud corporal y/o mental;;Investigación acotada a problemáticas específicas del territorio y desde una óptica del bienestar social;Muy interesado;Interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;Interesado;Nada de Interés.;Investigación en base a nuevas metodologías;1;3;3;2;0;0;0;0;Doctorado;1;Universidad de La Frontera;Temuco;Temuco;46;Femenino;0;0
Trabajo dependiente remunerado;10;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Aumentaron levemente;0;Satisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;Encontré trabajo;;;;;Todo siguió igual;;Encontré trabajo;;;;;Investigación, posgrado, docencia;Poco interés;Muy interesado;Poco interés;Poco interés;Poco interés;Interesado;Interesado;Muy interesado;Nada de Interés.;;1;0;9;3;1;1;1;1;Licenciado;0;Universidad de Chile;La Florida;Ñuñoa;23;Masculino;0;1
