"";"p1.trabajo";"p2.horastrabajo";"p3.contrato";"p4.otrocontrato";"p5.pago";"p6.empleador";"p7.otroempleador";"p8.lugartrabajo";"p9.otrolugartrabajo";"p10.ingresosoctubre";"p11.cambiooctubre";"p12.ingresocovid";"p13.cambiocovid";"p14.satisfaccionlaboral";"p15.satisfaccionsalud";"p16.satisfacciongeneral";"p17.octubre.igual";"p18.octubre.pierdetrabajo";"p19.octubre.encuentratrabajo";"p20.octubre.animo";"p21.octubre.familia";"p22.octubre.salud";"p23.octubre.otro";"p24.covid.igual";"p25.covid.pierdetrabajo";"p26.covid.encuentratrabajo";"p27.covid.animo";"p28.covid.emocional";"p29.covid.salud";"p30.covid.otro";"p31.proyeccionlaboral";"p32.cuali";"p33.cuanti";"p34.gestionpublica";"p35.intervencion";"p36.proyectos";"p37.teoria";"p38.general";"p39.software";"p40.mercado";"p41.otros";"p42.honorarios";"p43.boletas2018";"p44.boletas2019";"p45.boletas2020";"p46.fuenteingreso2018";"p47.fuenteingreso2019";"p48.fuenteingreso2020";"p49.afectohonorarios";"p50.gradoacademico";"p51.titulo";"p52.universidad";"p53.comunaresidencia";"p54.comunatrabajo";"p55.edad";"p56.genero";"p57.asociado";"p58.interescolegiarse"
"11";"Trabajo dependiente remunerado";40;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"No";"Disminuyeron levemente";"No";"Satisfecho";"Muy Satisfecho";"Muy Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Diplomado; Magíster; Emprendimiento";"Interesado";"Indiferente";"Interesado";"Poco";"Interesado";"Interesado";"Muy interesado";"Interesado";"Muy interesado";"Sociología política, sociología del deporte, Marketing";"Si";6;4;0;"No";"No";"No";"Si";"Licenciado";"Si";"Universidad Central";"Ñuñoa";"Providencia";30;"Masculino";"Si";NA
"12";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"No";"Disminuyeron levemente";"No";"Satisfecho";"Muy Satisfecho";"Muy Satisfecho";NA;NA;"Encontré trabajo";NA;NA;"Afectó mi salud corporal y/o mental";"";NA;"Perdí mi trabajo";"Encontré trabajo";NA;"Tuvo consecuencias emocionales";NA;"";"Muy buenas";"Interesado";"Interesado";"Interesado";"Indiferente";"Interesado";"Indiferente";"Interesado";"Indiferente";"Poco";"Investigación";"Si";5;9;1;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Universidad Diego portales";"Buin";"Santiago";25;"Femenino";"Si";NA
"13";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron totalmente";"No";"Aumentaron levemente";"No";"Insatisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"tuve + trabajo al inicio, varios cursos, luego 0";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"difícil incierto vulnerable";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Avanzar con Nuestra Fundación POSITIVA; Incidencia Ciudadana en Políticas Públicas y Trabajar en Formación Ciudadana Político-Legislativa marcado x Enfoque de Derechos Humanos, Memoria y Reparación";"Si";3;8;1;"Si";"Si";"Si";"No";"Magíster";"Si";"Arcis";"peñalolen";"peñalolen";55;"Masculino";"Si";NA
"14";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"Si";"Se mantuvieron igual";"No";"Muy insatisfecho";"Muy Satisfecho";"Insatisfecho";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";NA;NA;"";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";NA;NA;"";"No tengo experiencia laboral por tanto encontrar trabajo";"Muy interesado";"Indiferente";"Interesado";"Interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Indiferente";"";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"Universidad Diego Portales";"Santiago centro";"No trabajo";27;"Femenino";"No";"Si"
"15";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron totalmente";"No";"Disminuyeron totalmente";"No";"Muy insatisfecho";"Satisfecho";"Muy insatisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";"Procesos de seleccion más profesionales y transparentes; espero encontrar trabajo si la dimensión sociopolítica se asume en serio.";"Interesado";"Interesado";"Muy interesado";"Poco";"Muy interesado";"Interesado";"Muy interesado";"Indiferente";"Indiferente";"Evaluación de Impacto Ambiental...Trabajo con comunidades";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"U. De Chile";"Puerto Varas";"Puerto Varas";57;"Masculino";"No";"Si"
"16";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"No";"Disminuyeron totalmente";"Si";"Satisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";NA;NA;"";"Educación, políticas públicas y sociología del género";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Indiferente";"Género";"Si";5;10;2;"No";"No";"Si";"No";"Magíster";"Si";"Universidad Arturo Prat";"Iquique";"Iquique";43;"Femenino";"Si";NA
"17";"Trabajo dependiente remunerado";45;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Políticas públicas";"";"En instalaciones regulares del empleador";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Insatisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";"Trajo conflictos familiares";"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Espero que se mantenga mi empleo.";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Poco";"Interesado";"Muy interesado";"Nada";"Ninguno";"Si";4;3;0;"No";"No";"No";"No";"Magíster";"Si";"Universidad de Chile";"Santiago";"Santiago";36;"Femenino";"Si";NA
"18";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron totalmente";"Si";"Se mantuvieron igual";"Si";"Muy insatisfecho";"Satisfecho";"Insatisfecho";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";"Trajo conflictos familiares";NA;"";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"Buscando trabajo";"Muy interesado";"Poco";"Muy interesado";"Muy interesado";"Muy interesado";"Poco";"Interesado";"Nada";"Nada";"Coordinador de proyectos";"Si";5;6;3;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Central";"Puente alto";"No trabajo";34;"Femenino";"No";"Si"
"19";"Trabajo dependiente remunerado";45;"Contrato indefinido";"";"Recibe una liquidación de sueldo";NA;"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"Consultorias";"Interesado";"Interesado";"Interesado";"Interesado";"Indiferente";"Indiferente";"Indiferente";"Indiferente";"Interesado";"";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Central";"Providencia";"Santiago";34;"Femenino";"No";"No"
"20";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron totalmente";"No";"Disminuyeron totalmente";"No";"Muy insatisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;NA;"Trajo conflictos familiares";NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"Académica, investigación y proyectos.";"Muy interesado";"Poco";"Indiferente";"Interesado";"Interesado";"Poco";"Interesado";"Poco";"Poco";"Derechos humanos, educación, sociología de la memoria.";"Si";8;1;0;"Si";"No";"No";"No";"Magíster";"Si";"Universidad de Concepción";"Talca";"Por el momento en ninguna";42;"Femenino";"No";"Si"
"21";"Trabajo dependiente remunerado";55;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Todo siguió igual";NA;NA;NA;NA;NA;"";"investigación";"Interesado";"Interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Poco";"Poco";"ciudad y transformaciones culturales";"Si";1;0;0;"No";"No";"No";"No";"Magíster";"Si";"Universidad Arcis";"Providencia";"Providencia";39;"Masculino";"No";"Si"
"22";"Trabajo dependiente remunerado";45;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Políticas públicas";"";NA;"";"Se mantuvieron igual";"No";NA;"No";"Muy Satisfecho";NA;NA;"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";"Estudios, estadística, indicadores";NA;"Muy interesado";"Muy interesado";"Nada";"Interesado";"Nada";"Nada";"Muy interesado";"Nada";"Ninguno";"Si";7;8;0;"Si";"Si";"No";"No";"Licenciado";"Si";"Universidad Academia Humanismo Cristiano";"Estación Central";"Providencia";29;"Masculino";"No";"No"
"23";"Trabajo dependiente remunerado";30;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"Unión entre pares";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"investigación, elaboración de libro, comunicaciones";"Interesado";"Interesado";"Indiferente";"Poco";"Poco";"Interesado";"Interesado";"Muy interesado";"Poco";"Comunicaciones";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"Universidad de Concepción";"Puente Alto";"Independencia";29;"Femenino";"No";"Si"
"24";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Muy insatisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;NA;NA;NA;"Si bien estoy sin trabajo, en  mi provocó alegría por el despertar de la gente. Fue rememorar viejos tiempos en la lucha contra la dictadura y llenarse de optimismo en que habrá una transformación a nivel socioeconómico y principalmente en las personas.";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Trabajar en el ámbito de la educación en convivencia escolar, o hacer trabajo comunitario.";"Interesado";"Interesado";"Interesado";"Muy interesado";"Poco";"Interesado";"Interesado";"Poco";"Poco";"El trabajo con mujeres";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"ARCIS";"Peñaflor";"Estoy cesante";55;"Femenino";"Si";NA
"25";"Trabajo dependiente remunerado";60;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Insatisfecho";"Satisfecho";"Indiferente";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"investigación, docencia, proyectos";"Interesado";"Interesado";"Poco";"Indiferente";"Interesado";"Interesado";"Muy interesado";"Interesado";"Nada";"sociología del trabajo, sociología de las migraciones";"Si";4;3;0;"No";"No";"No";"Si";"Doctorado";"Si";"Universidad Catolica";"iquique";"iquique";53;"Femenino";"No";"Si"
"26";"Trabajo dependiente remunerado";25;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"Participación en más proyectos";"Interesado";"Muy interesado";"Indiferente";"Indiferente";"Interesado";"Indiferente";"Indiferente";"Muy interesado";"Muy interesado";"X";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"No";"U de Concepción";"Chillán";"Chillán";40;"Masculino";"Si";NA
"27";"Trabajo dependiente remunerado";48;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Políticas públicas";"";NA;"teletrabajo y oficina  según turno";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"Mejoró mi perspectiva de futuro";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"aplicar más investigación en mi área laboral";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"";"Si";3;3;1;"No";"No";"No";"No";"Magíster";"Si";"Arcis";"Maipu";"Santiago";48;"Femenino";"No";"Si"
"28";"Trabajo dependiente remunerado";30;"Contrato indefinido";"";"Entrega boleta de honorarios";"Marketing o comunicación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"No";"Se mantuvieron igual";"Si";"Insatisfecho";"Insatisfecho";"Muy Satisfecho";NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"Quiero acercarme a la Analítica de Datos";"Poco";"Muy interesado";"Poco";"Poco";"Poco";"Interesado";"Interesado";"Muy interesado";"Interesado";"Analítica de Datos";"Si";3;5;3;"No";"No";"No";"No";"Magíster";"Si";"Chile";"Peñalolén";"Iquique";47;"Masculino";"Si";NA
"29";"Trabajo independiente remunerado";40;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Organización Internacional";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"impacto positivo siendo parte de la rearticulación de tejido social";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Continuar desde la consultoría en el corto plazo ya que continúa el proyecto en el que estoy involucrada";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Indiferente";"Muy interesado";"Poco";"teorías y metodologías desde epistemologías del sur";"Si";20;15;5;"Si";"Si";"Si";"Si";"Magíster";"Si";"Universidad de Concepción";"Calama";"Iquique";36;"Femenino";"Si";NA
"30";"Trabajo dependiente remunerado";50;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Estudios de mercado";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Disminuyeron levemente";"No";"Indiferente";"Insatisfecho";"Muy insatisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Emprendimiento
Proyectos 
Asociaticidad";"Interesado";"Muy interesado";"Indiferente";"Interesado";"Interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Nada";"Si";12;12;3;"Si";"Si";"Si";"Si";"Magíster";"Si";"Universidad Arturo Prat";"Iquique";"Iquique";31;"Masculino";"No";"No"
"31";"Trabajo dependiente remunerado";46;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"Si";"Se mantuvieron igual";"Si";"Satisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Clases internacionales, Grupos internacionales de investigación";"Muy interesado";"Muy interesado";"Indiferente";"Indiferente";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Academia";"Si";6;3;1;"No";"No";"No";"No";"Magíster";"Si";"Universidad de Concepción";"San Pedro de la Paz";"Concepción";41;"Masculino";"Si";NA
"32";"Trabajo independiente remunerado";20;"Independiente (dueño o socio de firma consultora)";"";"Entrega boleta de honorarios";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"No";"Disminuyeron levemente";"No";"Insatisfecho";"Insatisfecho";"Insatisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";"";"Interesado";"Interesado";"Poco";"Indiferente";"Poco";"Indiferente";"Indiferente";NA;"Poco";"";"Si";30;30;6;"Si";"Si";"Si";"Si";"Magíster";"No";"De Chile";"Santiago";"Santiago";40;"Masculino";"Si";NA
"33";"Trabajo dependiente remunerado";45;"Contrato indefinido";"";"Recibe una liquidación de sueldo";NA;"Otro";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Insatisfecho";"Indiferente";"Insatisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"Preocupación por la justicia social y esperanza por cambios favorables para los más excluidos";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Validación profesional,  generación e redes publico privadas y expectativas de un nuevo empleo más vinculados a mis intereses académicos e investigativos";"Interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Indiferente";"Sociologia urbana y geografía humana";"Si";7;0;0;"No";"No";"No";"No";"Magíster";"Si";"Arcis";"Providencia";"Providencia";36;"Masculino";"No";"Si"
"34";"Trabajo dependiente remunerado";NA;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Municipio";"";"En instalaciones regulares del empleador";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Muy Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;"Encontré trabajo";NA;NA;NA;"";"Me proyecto en el servicio público, asumiendo nuevos desafíos";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Poco";"Interesado";"Muy interesado";"Indiferente";"Docencia";"Si";12;12;3;"No";"No";"Si";"Si";"Licenciado";"Si";"Universidad de Concepción";"Cauquenes";"Municipalidad de Cauquenes";29;"Femenino";"Si";NA
"35";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Indiferente";"Satisfecho";"Indiferente";NA;NA;NA;"Provocó un bajón anímico";"Trajo conflictos familiares";"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Turismo, proyectos";"Interesado";"Indiferente";"Interesado";"Interesado";"Interesado";"Poco";"Poco";"Indiferente";"Indiferente";"";"Si";1;5;0;"Si";"Si";"Si";"No";"Licenciado";"No";"UNAB";"San Felipe";"";23;"Femenino";"No";"Si"
